序号,名称（备注形式）,规格,材质,侧板厚度mm,"底板/横档厚度mm
mm",盖板厚度mm,数量,单位,本体单价（含税）,盖板单价（含税）,"本体及盖板合价
（含税）","合计
（含税）",品牌,执行标准（投标单位自填）,备注
806,弯通配件,彩钢水平综合三通 左：300*200-300*200-200*100 中：300*200-300*200-200*100 右300*200-300*200-200*100,0,0,0,0,10,个,0,0,0,285.6,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
807,弯通配件,热浸锌桥架100*100 爬高弯通110mm,0,0,0,0,0,个,0,0,0,90.2,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
808,弯通配件,热浸锌桥架100*100 爬高弯通150mm,0,0,0,0,0,个,0,0,0,90.2,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
809,弯通配件,热浸锌桥架100*100 爬高弯通190mm,0,0,0,0,0,个,0,0,0,90.2,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
810,弯通配件,热浸锌桥架100*100 爬高弯通200mm,0,0,0,0,0,个,0,0,0,90.2,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
811,弯通配件,热浸锌桥架100*100 爬高弯通220mm,0,0,0,0,0,个,0,0,0,90.2,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
812,弯通配件,热浸锌桥架100*100 爬高弯通250mm,0,0,0,0,0,个,0,0,0,90.2,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
813,弯通配件,热浸锌桥架100*100 爬高弯通300mm,0,0,0,0,0,个,0,0,0,90.2,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
814,弯通配件,热浸锌桥架100*100 爬高弯通350mm,0,0,0,0,0,个,0,0,0,90.2,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
815,弯通配件,热浸锌桥架100*100 爬高弯通400mm,0,0,0,0,0,个,0,0,0,90.2,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
816,弯通配件,热浸锌桥架100*100 爬高弯通450mm,0,0,0,0,0,个,0,0,0,90.2,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
817,弯通配件,热浸锌桥架100*100 爬高弯通80mm,0,0,0,0,0,个,0,0,0,90.2,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
818,弯通配件,热浸锌100*100 水平+垂直下弯通（向下300mm）,0,0,0,0,0,个,0,0,0,90.2,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
819,弯通配件,热浸锌桥架100*100 垂直上弯通,0,0,0,0,0,个,0,0,0,45.1,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
820,弯通配件,热浸锌桥架100*100 水平135°弯通,0,0,0,0,0,个,0,0,0,45.1,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
821,弯通配件,热浸锌桥架100*100 水平弯通,0,0,0,0,0,个,0,0,0,45.1,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
822,弯通配件,热浸锌桥架100*50 爬高弯通100mm,0,0,0,0,0,个,0,0,0,66,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
823,弯通配件,热浸锌桥架100*50 爬高弯通125mm,0,0,0,0,0,个,0,0,0,66,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
824,弯通配件,热浸锌桥架100*50 爬高弯通150mm,0,0,0,0,0,个,0,0,0,66,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
825,弯通配件,热浸锌桥架100*50 爬高弯通170mm,0,0,0,0,0,个,0,0,0,66,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
826,弯通配件,热浸锌桥架100*50 爬高弯通175mm,0,0,0,0,0,个,0,0,0,66,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
827,弯通配件,热浸锌桥架100*50 爬高弯通200mm,0,0,0,0,0,个,0,0,0,66,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
828,弯通配件,热浸锌桥架100*50 爬高弯通220mm,0,0,0,0,0,个,0,0,0,66,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
829,弯通配件,热浸锌桥架100*50 爬高弯通250mm,0,0,0,0,0,个,0,0,0,66,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
830,弯通配件,热浸锌桥架100*50 爬高弯通270mm,0,0,0,0,0,个,0,0,0,66,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
831,弯通配件,热浸锌桥架100*50 爬高弯通275mm,0,0,0,0,0,个,0,0,0,66,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
832,弯通配件,热浸锌桥架100*50 爬高弯通280mm,0,0,0,0,0,个,0,0,0,66,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
833,弯通配件,热浸锌桥架100*50 爬高弯通300mm,0,0,0,0,0,个,0,0,0,66,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
834,弯通配件,热浸锌桥架100*50 爬高弯通30mm,0,0,0,0,0,个,0,0,0,66,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
835,弯通配件,热浸锌桥架100*50 爬高弯通350mm,0,0,0,0,0,个,0,0,0,66,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
836,弯通配件,热浸锌桥架100*50 爬高弯通375mm,0,0,0,0,0,个,0,0,0,66,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
837,弯通配件,热浸锌桥架100*50 爬高弯通400mm,0,0,0,0,0,个,0,0,0,66,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
838,弯通配件,热浸锌桥架100*50 爬高弯通450mm,0,0,0,0,0,个,0,0,0,66,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
839,弯通配件,热浸锌桥架100*50 爬高弯通475mm,0,0,0,0,0,个,0,0,0,66,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
840,弯通配件,热浸锌桥架100*50 水平135°弯通,0,0,0,0,0,个,0,0,0,33,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
841,弯通配件,热浸锌桥架100*50 水平90°弯通,0,0,0,0,0,个,0,0,0,33,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
842,弯通配件,热浸锌桥架100*50 水平三通,0,0,0,0,0,个,0,0,0,42,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
843,弯通配件,热浸锌桥架100*50 水平弯通,0,0,0,0,0,个,0,0,0,33,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
844,弯通配件,热浸锌桥架100*75 爬高弯通113mm,0,0,0,0,0,个,0,0,0,81.4,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
845,弯通配件,热浸锌桥架100*75 爬高弯通200mm,0,0,0,0,0,个,0,0,0,81.4,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
846,弯通配件,热浸锌桥架100*75 爬高弯通300mm,0,0,0,0,0,个,0,0,0,81.4,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
847,弯通配件,热浸锌桥架100*75 水平弯通,0,0,0,0,0,个,0,0,0,40.7,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
848,弯通配件,热浸锌桥架200*100 爬高弯通100mm,0,0,0,0,0,个,0,0,0,145.2,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
849,弯通配件,热浸锌桥架200*100 爬高弯通110mm,0,0,0,0,0,个,0,0,0,145.2,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
850,弯通配件,热浸锌桥架200*100 爬高弯通150mm,0,0,0,0,0,个,0,0,0,145.2,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
851,弯通配件,热浸锌桥架200*100 爬高弯通190mm,0,0,0,0,0,个,0,0,0,145.2,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
852,弯通配件,热浸锌桥架200*100 爬高弯通200mm,0,0,0,0,0,个,0,0,0,145.2,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
853,弯通配件,热浸锌桥架200*100 爬高弯通220mm,0,0,0,0,0,个,0,0,0,145.2,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
854,弯通配件,热浸锌桥架200*100 爬高弯通250mm,0,0,0,0,0,个,0,0,0,145.2,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
855,弯通配件,热浸锌桥架200*100 爬高弯通300mm,0,0,0,0,0,个,0,0,0,145.2,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
856,弯通配件,热浸锌桥架200*100 爬高弯通350mm,0,0,0,0,0,个,0,0,0,145.2,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
857,弯通配件,热浸锌桥架200*100 爬高弯通400mm,0,0,0,0,0,个,0,0,0,145.2,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
858,弯通配件,热浸锌桥架200*100 爬高弯通450mm,0,0,0,0,0,个,0,0,0,145.2,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
859,弯通配件,热浸锌桥架200*100 爬高弯通500mm,0,0,0,0,0,个,0,0,0,145.2,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
860,弯通配件,热浸锌桥架200*100 爬高弯通80mm,0,0,0,0,0,个,0,0,0,145.2,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
861,弯通配件,热浸锌桥架200*100 垂直上弯通,0,0,0,0,0,个,0,0,0,72.6,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
862,弯通配件,热浸锌200*100 水平+垂直下弯通（向下300mm）,0,0,0,0,0,个,0,0,0,145.2,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
863,弯通配件,热浸锌桥架200*100 水平135°弯通,0,0,0,0,0,个,0,0,0,72.6,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
864,弯通配件,热浸锌桥架200*100 水平三通,0,0,0,0,0,个,0,0,0,92.4,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
865,弯通配件,热浸锌桥架200*100 水平弯通,0,0,0,0,0,个,0,0,0,72.6,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
866,弯通配件,热浸锌200*100-100*100-200*100 三通,0,0,0,0,0,个,0,0,0,92.4,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
867,弯通配件,热浸锌200*100-200*100-300*100 三通,0,0,0,0,0,个,0,0,0,105,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
868,弯通配件,热浸锌200*100-200*100-500*100 三通,0,0,0,0,0,个,0,0,0,198.8,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
869,弯通配件,热浸锌桥架200*150 爬高弯通100mm,0,0,0,0,0,个,0,0,0,165,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
870,弯通配件,热浸锌桥架200*150 爬高弯通150mm,0,0,0,0,0,个,0,0,0,165,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
871,弯通配件,热浸锌桥架200*150 爬高弯通200mm,0,0,0,0,0,个,0,0,0,165,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
872,弯通配件,热浸锌桥架200*150 爬高弯通225mm,0,0,0,0,0,个,0,0,0,165,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
873,弯通配件,热浸锌桥架200*150 爬高弯通250mm,0,0,0,0,0,个,0,0,0,165,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
874,弯通配件,热浸锌桥架200*150 爬高弯通300mm,0,0,0,0,0,个,0,0,0,165,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
875,弯通配件,热浸锌桥架200*150 爬高弯通350mm,0,0,0,0,0,个,0,0,0,165,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
876,弯通配件,热浸锌桥架200*150 爬高弯通400mm,0,0,0,0,0,个,0,0,0,165,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
877,弯通配件,热浸锌桥架200*150 爬高弯通600mm,0,0,0,0,0,个,0,0,0,165,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
878,弯通配件,热浸锌桥架200*150 水平135°弯通,0,0,0,0,0,个,0,0,0,82.5,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
879,弯通配件,热浸锌桥架200*150 水平90°弯通,0,0,0,0,0,个,0,0,0,82.5,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
880,弯通配件,热浸锌桥架200*150 水平三通,0,0,0,0,0,个,0,0,0,105,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
881,弯通配件,热浸锌桥架200*150 水平弯通,0,0,0,0,0,个,0,0,0,82.5,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
882,弯通配件,热浸锌200*150-200*150-300*150 三通,0,0,0,0,0,个,0,0,0,133,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
883,弯通配件,热浸锌200*150-300*150-300*150 三通,0,0,0,0,0,个,0,0,0,133,天源华威,0,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
