箱体报价表,,,,,,,
外型尺寸W*H*D,背板厚度,箱门厚度及层数,侧板厚度,表面处理,单价,备注（室内室外型、IP等级）,
96,微型断路器,iC65N-S 3P C40A+ELE 300mA A,2,只,535.19,0.45,施耐德
97,微型断路器,iC65N-S 4P C16A+ELE 30mA A,5,只,603.29,0.45,施耐德
98,微型断路器,iC65N-S 4P C32A+ELE 30mA A,5,只,620.97,0.45,施耐德
99,微型断路器,iC65N-S 4P D10A+ELE 300mA A,1,只,727.79,0.45,施耐德
100,微型断路器,iC65N-S 4P D13A+ELE 300mA A,1,只,727.75,0.45,施耐德
101,微型断路器,iC65N-S 4P D13A+ELE 30mA A,37,只,708.57,0.45,施耐德
102,微型断路器,iC65N-S 4P D16A+ELE 300mA A,2,只,727.79,0.45,施耐德
103,微型断路器,iC65N-S 4P D16A+ELE 30mA A,14,只,708.61,0.45,施耐德
104,微型断路器,iC65N-S 4P D25A+ELE 30mA A,4,只,717.55,0.45,施耐德
105,微型断路器,iC65N-S 4P D2A+ELE 300mA A,27,只,853.44,0.45,施耐德
106,微型断路器,iC65N-S 4P D2A+ELE 30mA A,8,只,834.26,0.45,施耐德
107,微型断路器,iC65N-S 4P D40A+ELE 30mA A,7,只,735.66,0.45,施耐德
108,微型断路器,iC65N-S 4P D4A+ELE 300mA A,8,只,818.03,0.45,施耐德
109,微型断路器,iC65N-S 4P D4A+ELE 30mA A,4,只,798.85,0.45,施耐德
110,微型断路器,iC65N-S 4P D50A+ELE 30mA A,1,只,919.3,0.45,施耐德
111,微型断路器,iC65N-S 4P D63A+ELE 30mA A,9,只,982.5,0.45,施耐德
112,微型断路器,iC65N-S 4P D6A+ELE 300mA A,1,只,754.84,0.45,施耐德
113,微型断路器,iC65N-S 4P D6A+ELE 30mA A,8,只,735.66,0.45,施耐德
114,微型断路器,iC65N-S C10A/1P,578,只,43.89,0.45,施耐德
115,微型断路器,iC65N-S C10A/3P,24,只,171,0.45,施耐德
116,微型断路器,iC65N-S C16A/1P,153,只,43.89,0.45,施耐德
117,微型断路器,iC65N-S C16A/3P,5,只,171,0.45,施耐德
118,微型断路器,iC65N-S C20A/1P,145,只,43.89,0.45,施耐德
119,微型断路器,iC65N-S C20A/2P,1,只,107.52,0.45,施耐德
120,微型断路器,iC65N-S C20A/3P,4,只,171,0.45,施耐德
121,微型断路器,iC65N-S C25A/1P,2,只,49.3,0.45,施耐德
122,微型断路器,iC65N-S C25A/3P,5,只,185.2,0.45,施耐德
123,微型断路器,iC65N-S C32A/1P,264,只,49.3,0.45,施耐德
124,微型断路器,iC65N-S C32A/3P,57,只,185.2,0.45,施耐德
125,微型断路器,iC65N-S C40A/3P,6,只,220.3,0.45,施耐德
126,微型断路器,iC65N-S C50A/3P,31,只,246.93,0.45,施耐德
127,微型断路器,iC65N-S C63A/1P,1,只,79.43,0.45,施耐德
128,微型断路器,iC65N-S C63A/3P,58,只,264.65,0.45,施耐德
129,微型断路器,iC65N-S D10A/1P,36,只,61.74,0.45,施耐德
130,微型断路器,iC65N-S D10A/3P,2,只,225.88,0.45,施耐德
