序号,名称,母线类型,规格型号,铜牌厚度及开关型号,接地方式,防护等级,外壳材质,品牌,系列,单位,数量,不含税单价（元）,税率,含税单价（元）,含税合价（元）,备注
1,密集型母线槽,三相五限制,1600A/5 IP54(L1.L2.L3.PE.PEN),,,IP54,,高标,,米,433.26,1800.8849557522126,0.13,2035,881684.1,2025.6.13；电解铜参考价格：67000元/吨，连接器、插口装置、终端封头、搭接铜排等辅材由中标单位与母线槽配套供应， 上 述 辅 材 不 另 作 报 价 (投标单位在密集型母线槽报价中须包含连接器、插口装置、终端封头 等 价 格 )；（1）、预付当批送货金额 20%；（供方提供等额预付款保函）（2）、货到现场30天付至该批次送货金额85%；（先行抵扣预付款后再支付货款）（3）、最后一批次发货前甲方付至结算金额100% ；（3）、最后一批次货款付款前乙方提供结算金额3%的两年期银行质量保函。
2,密集型母线槽,三相五限制,2000A/5 IP54(L1.L2.L3.PE.PEN),,,IP54,,高标,,米,156.28,2256.637168141593,0.13,2550,398514,2025.6.13；电解铜参考价格：67000元/吨，连接器、插口装置、终端封头、搭接铜排等辅材由中标单位与母线槽配套供应， 上 述 辅 材 不 另 作 报 价 (投标单位在密集型母线槽报价中须包含连接器、插口装置、终端封头 等 价 格 )；（1）、预付当批送货金额 20%；（供方提供等额预付款保函）（2）、货到现场30天付至该批次送货金额85%；（先行抵扣预付款后再支付货款）（3）、最后一批次发货前甲方付至结算金额100% ；（3）、最后一批次货款付款前乙方提供结算金额3%的两年期银行质量保函。
3,密集型母线槽,三相五限制,2500A/5 IP54(L1.L2.L3.PE.PEN),,,IP54,,高标,,米,80.08,2793.8053097345137,0.13,3157,252812.56,2025.6.13；电解铜参考价格：67000元/吨，连接器、插口装置、终端封头、搭接铜排等辅材由中标单位与母线槽配套供应， 上 述 辅 材 不 另 作 报 价 (投标单位在密集型母线槽报价中须包含连接器、插口装置、终端封头 等 价 格 )；（1）、预付当批送货金额 20%；（供方提供等额预付款保函）（2）、货到现场30天付至该批次送货金额85%；（先行抵扣预付款后再支付货款）（3）、最后一批次发货前甲方付至结算金额100% ；（3）、最后一批次货款付款前乙方提供结算金额3%的两年期银行质量保函。
4,插接箱,,MCCB-100N/100A/33e40/1r1-80A,,,,,高标,,台,2,1297.345132743363,0.13,1466,2932,2025.6.13；电解铜参考价格：67000元/吨，连接器、插口装置、终端封头、搭接铜排等辅材由中标单位与母线槽配套供应， 上 述 辅 材 不 另 作 报 价 (投标单位在密集型母线槽报价中须包含连接器、插口装置、终端封头 等 价 格 )；（1）、预付当批送货金额 20%；（供方提供等额预付款保函）（2）、货到现场30天付至该批次送货金额85%；（先行抵扣预付款后再支付货款）（3）、最后一批次发货前甲方付至结算金额100% ；（3）、最后一批次货款付款前乙方提供结算金额3%的两年期银行质量保函。
5,插接箱,,MCCB-250N/250A/33e40/1r1-125A,,,,,高标,,台,2,2058.407079646018,0.13,2326,4652,2025.6.13；电解铜参考价格：67000元/吨，连接器、插口装置、终端封头、搭接铜排等辅材由中标单位与母线槽配套供应， 上 述 辅 材 不 另 作 报 价 (投标单位在密集型母线槽报价中须包含连接器、插口装置、终端封头 等 价 格 )；（1）、预付当批送货金额 20%；（供方提供等额预付款保函）（2）、货到现场30天付至该批次送货金额85%；（先行抵扣预付款后再支付货款）（3）、最后一批次发货前甲方付至结算金额100% ；（3）、最后一批次货款付款前乙方提供结算金额3%的两年期银行质量保函。
6,插接箱,,MCCB-250N/250A/33e40/1r1-160A,,,,,高标,,台,2,2058.407079646018,0.13,2326,4652,2025.6.13；电解铜参考价格：67000元/吨，连接器、插口装置、终端封头、搭接铜排等辅材由中标单位与母线槽配套供应， 上 述 辅 材 不 另 作 报 价 (投标单位在密集型母线槽报价中须包含连接器、插口装置、终端封头 等 价 格 )；（1）、预付当批送货金额 20%；（供方提供等额预付款保函）（2）、货到现场30天付至该批次送货金额85%；（先行抵扣预付款后再支付货款）（3）、最后一批次发货前甲方付至结算金额100% ；（3）、最后一批次货款付款前乙方提供结算金额3%的两年期银行质量保函。
7,插接箱,,MCCB-250N/250A/33e40/1r1-180A,,,,,高标,,台,1,2100.8849557522126,0.13,2374,2374,2025.6.13；电解铜参考价格：67000元/吨，连接器、插口装置、终端封头、搭接铜排等辅材由中标单位与母线槽配套供应， 上 述 辅 材 不 另 作 报 价 (投标单位在密集型母线槽报价中须包含连接器、插口装置、终端封头 等 价 格 )；（1）、预付当批送货金额 20%；（供方提供等额预付款保函）（2）、货到现场30天付至该批次送货金额85%；（先行抵扣预付款后再支付货款）（3）、最后一批次发货前甲方付至结算金额100% ；（3）、最后一批次货款付款前乙方提供结算金额3%的两年期银行质量保函。
8,插接箱,,MCCB-400N/400A/33e40/lr1-250A,,,,,高标,,台,1,2536.283185840708,0.13,2866,2866,2025.6.13；电解铜参考价格：67000元/吨，连接器、插口装置、终端封头、搭接铜排等辅材由中标单位与母线槽配套供应， 上 述 辅 材 不 另 作 报 价 (投标单位在密集型母线槽报价中须包含连接器、插口装置、终端封头 等 价 格 )；（1）、预付当批送货金额 20%；（供方提供等额预付款保函）（2）、货到现场30天付至该批次送货金额85%；（先行抵扣预付款后再支付货款）（3）、最后一批次发货前甲方付至结算金额100% ；（3）、最后一批次货款付款前乙方提供结算金额3%的两年期银行质量保函。
9,插接箱,,MCCB-400N/400A/33e40/lr1-280A,,,,,高标,,台,1,2959.2920353982304,0.13,3344,3344,2025.6.13；电解铜参考价格：67000元/吨，连接器、插口装置、终端封头、搭接铜排等辅材由中标单位与母线槽配套供应， 上 述 辅 材 不 另 作 报 价 (投标单位在密集型母线槽报价中须包含连接器、插口装置、终端封头 等 价 格 )；（1）、预付当批送货金额 20%；（供方提供等额预付款保函）（2）、货到现场30天付至该批次送货金额85%；（先行抵扣预付款后再支付货款）（3）、最后一批次发货前甲方付至结算金额100% ；（3）、最后一批次货款付款前乙方提供结算金额3%的两年期银行质量保函。
10,插接箱,,MCCB-400N/400A/33e40/lr1-350A,,,,,高标,,台,2,2959.2920353982304,0.13,3344,6688,2025.6.13；电解铜参考价格：67000元/吨，连接器、插口装置、终端封头、搭接铜排等辅材由中标单位与母线槽配套供应， 上 述 辅 材 不 另 作 报 价 (投标单位在密集型母线槽报价中须包含连接器、插口装置、终端封头 等 价 格 )；（1）、预付当批送货金额 20%；（供方提供等额预付款保函）（2）、货到现场30天付至该批次送货金额85%；（先行抵扣预付款后再支付货款）（3）、最后一批次发货前甲方付至结算金额100% ；（3）、最后一批次货款付款前乙方提供结算金额3%的两年期银行质量保函。
11,插接箱,,MCCB-630N/500A/33e40/1r1-450A,,,,,高标,,台,22,4200,0.13,4746,104412,2025.6.13；电解铜参考价格：67000元/吨，连接器、插口装置、终端封头、搭接铜排等辅材由中标单位与母线槽配套供应， 上 述 辅 材 不 另 作 报 价 (投标单位在密集型母线槽报价中须包含连接器、插口装置、终端封头 等 价 格 )；（1）、预付当批送货金额 20%；（供方提供等额预付款保函）（2）、货到现场30天付至该批次送货金额85%；（先行抵扣预付款后再支付货款）（3）、最后一批次发货前甲方付至结算金额100% ；（3）、最后一批次货款付款前乙方提供结算金额3%的两年期银行质量保函。
12,插接箱,,MCCB-630N/630A/33e40/lr1-450A,,,,,高标,,台,2,4200,0.13,4746,9492,2025.6.13；电解铜参考价格：67000元/吨，连接器、插口装置、终端封头、搭接铜排等辅材由中标单位与母线槽配套供应， 上 述 辅 材 不 另 作 报 价 (投标单位在密集型母线槽报价中须包含连接器、插口装置、终端封头 等 价 格 )；（1）、预付当批送货金额 20%；（供方提供等额预付款保函）（2）、货到现场30天付至该批次送货金额85%；（先行抵扣预付款后再支付货款）（3）、最后一批次发货前甲方付至结算金额100% ；（3）、最后一批次货款付款前乙方提供结算金额3%的两年期银行质量保函。
13,插接箱,,MCCB-630N/630A/33e40/lr1-500A,,,,,高标,,台,5,4200,0.13,4746,23730,2025.6.13；电解铜参考价格：67000元/吨，连接器、插口装置、终端封头、搭接铜排等辅材由中标单位与母线槽配套供应， 上 述 辅 材 不 另 作 报 价 (投标单位在密集型母线槽报价中须包含连接器、插口装置、终端封头 等 价 格 )；（1）、预付当批送货金额 20%；（供方提供等额预付款保函）（2）、货到现场30天付至该批次送货金额85%；（先行抵扣预付款后再支付货款）（3）、最后一批次发货前甲方付至结算金额100% ；（3）、最后一批次货款付款前乙方提供结算金额3%的两年期银行质量保函。
14,插接箱,,MCCB-630N/630A/33e40/1r1-550A,,,,,高标,,台,1,4438.053097345133,0.13,5015,5015,2025.6.13；电解铜参考价格：67000元/吨，连接器、插口装置、终端封头、搭接铜排等辅材由中标单位与母线槽配套供应， 上 述 辅 材 不 另 作 报 价 (投标单位在密集型母线槽报价中须包含连接器、插口装置、终端封头 等 价 格 )；（1）、预付当批送货金额 20%；（供方提供等额预付款保函）（2）、货到现场30天付至该批次送货金额85%；（先行抵扣预付款后再支付货款）（3）、最后一批次发货前甲方付至结算金额100% ；（3）、最后一批次货款付款前乙方提供结算金额3%的两年期银行质量保函。
15,插接箱,,450A,,,,,高标,,台,24,120.35398230088497,0.13,136,3264,2025.6.13；电解铜参考价格：67000元/吨，连接器、插口装置、终端封头、搭接铜排等辅材由中标单位与母线槽配套供应， 上 述 辅 材 不 另 作 报 价 (投标单位在密集型母线槽报价中须包含连接器、插口装置、终端封头 等 价 格 )；（1）、预付当批送货金额 20%；（供方提供等额预付款保函）（2）、货到现场30天付至该批次送货金额85%；（先行抵扣预付款后再支付货款）（3）、最后一批次发货前甲方付至结算金额100% ；（3）、最后一批次货款付款前乙方提供结算金额3%的两年期银行质量保函。
16,母线支、吊架,,/,,,,,高标,,Kg,1208.52,22.123893805309738,0.13,25,30213,2025.6.13；电解铜参考价格：67000元/吨，连接器、插口装置、终端封头、搭接铜排等辅材由中标单位与母线槽配套供应， 上 述 辅 材 不 另 作 报 价 (投标单位在密集型母线槽报价中须包含连接器、插口装置、终端封头 等 价 格 )；（1）、预付当批送货金额 20%；（供方提供等额预付款保函）（2）、货到现场30天付至该批次送货金额85%；（先行抵扣预付款后再支付货款）（3）、最后一批次发货前甲方付至结算金额100% ；（3）、最后一批次货款付款前乙方提供结算金额3%的两年期银行质量保函。
17,始端箱,,配套,,,,,高标,,台,6,3712.389380530974,0.13,4195,25170,2025.6.13；电解铜参考价格：67000元/吨，连接器、插口装置、终端封头、搭接铜排等辅材由中标单位与母线槽配套供应， 上 述 辅 材 不 另 作 报 价 (投标单位在密集型母线槽报价中须包含连接器、插口装置、终端封头 等 价 格 )；（1）、预付当批送货金额 20%；（供方提供等额预付款保函）（2）、货到现场30天付至该批次送货金额85%；（先行抵扣预付款后再支付货款）（3）、最后一批次发货前甲方付至结算金额100% ；（3）、最后一批次货款付款前乙方提供结算金额3%的两年期银行质量保函。
18,终端箱,,配套,,,,,高标,,台,6,3712.389380530974,0.13,4195,25170,2025.6.13；电解铜参考价格：67000元/吨，连接器、插口装置、终端封头、搭接铜排等辅材由中标单位与母线槽配套供应， 上 述 辅 材 不 另 作 报 价 (投标单位在密集型母线槽报价中须包含连接器、插口装置、终端封头 等 价 格 )；（1）、预付当批送货金额 20%；（供方提供等额预付款保函）（2）、货到现场30天付至该批次送货金额85%；（先行抵扣预付款后再支付货款）（3）、最后一批次发货前甲方付至结算金额100% ；（3）、最后一批次货款付款前乙方提供结算金额3%的两年期银行质量保函。
